[10:04:53] Starting annual report AI processing…
[10:04:53] Reading report CSV files …
[10:04:53] Fetching 200 annual report(s)…
[10:04:53]   Downloading report for CIK 0001735707 (2024)…
[10:07:38]   Calling AI for batch 14 with 5 report(s)…
[10:07:44]   Raw AI response: {
  "id": "resp_68cd0f4b46e881908242296d1bc9156a0a56f120bc6b58fa",
  "object": "response",
  "created_at": 1758269259,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f4e1410819084a22d683e659ed10a56f120bc6b58fa",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f4e39048190a0a2866aea567d510a56f120bc6b58fa",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\":10,\"explanation\":\"Large established consumer products company with diversified segments, credit facilities and no obvious distress in excerpt.\"},\n  {\"score:\":70,\"explanation\":\"Blank-check SPAC with no operating history, repeated extension payments, reliance on completing business combination and potential going-concern issues.\"},\n  {\"score\":35,\"explanation\":\"Early-stage biotech with recent IPO, limited revenues, R&D pipeline and licensing potential but financing and commercialization risks.\"},\n  {\"score\":5,\"explanation\":\"Mature industrial manufacturer with positive operating cash flow, healthy backlog, conservative balance sheet and low short-term liquidity risk.\"},\n  {\"score\":12,\"explanation\":\"Large regional media company with diversified ad revenues, Nasdaq listing and normal regulatory risks but no solvency red flags.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 63491,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 169,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 63660
  },
  "user": null,
  "metadata": {}
}
[10:07:44]   Parsed 5 result(s).
[10:07:44]   Calling AI for batch 15 with 5 report(s)…
[10:07:56]   Raw AI response: {
  "id": "resp_68cd0f51ca9081969dbd9c68236fe02f0aa3a79184f96a15",
  "object": "response",
  "created_at": 1758269265,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f5806d08196a16a6b6734b60ac40aa3a79184f96a15",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f58d7bc819685479909c1260ce50aa3a79184f96a15",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[{\"score\":5,\"explanation\":\"Cogent is a large, profitable, investment\u2011grade telecom with diversified revenues, manageable debt maturities and recent bolt\u2011on acquisition integration\u2014bankruptcy risk very low.\"},{\"score\":60,\"explanation\":\"BioVie is a small clinical\u2011stage biotech with failed/underpowered Phase 3 Alzheimer trial, limited revenues, reliance on grants/financing and development milestones\u2014material near\u2011term funding risk.\"},{\"score\":45,\"explanation\":\"AltEnergy (SPAC) has minimal operations, repeated extension/redemptions, reliance on completing a merger and external financing\u2014substantial execution and liquidity risk but trustee funds exist.\"},{\"score\":70,\"explanation\":\"ClimateRock is a SPAC with limited cash in trust, multiple extension votes, complex merger contingencies and sponsor concentration\u2014high probability it fails to consummate transaction or liquidates absent financing.\"},{\"score\":15,\"explanation\":\"Sonida is an operating senior\u2011living REIT/operator with sizable portfolio, access to capital markets and refinance activity but exposure to interest rates and covenant risk\u2014moderate but low near\u2011term bankruptcy risk.\"}]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 63698,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 237,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 63935
  },
  "user": null,
  "metadata": {}
}
[10:07:56]   Parsed 5 result(s).
[10:07:56]   Calling AI for batch 16 with 5 report(s)…
[10:08:05]   Raw AI response: {
  "id": "resp_68cd0f5e125081909b47c90f61f3a3dd0a318d891f08590d",
  "object": "response",
  "created_at": 1758269278,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f6230a481908d6af47358ece9720a318d891f08590d",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f624d488190981bdf2f8360cd8f0a318d891f08590d",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 30, \"explanation\":\"Small-cap oil & gas (Trio Petroleum) with frequent financings/convertibles but ongoing operations and recent fundraising activity; moderate near-term liquidity risk but not imminent bankruptcy.\"},\n  {\"score\": 20, \"explanation\":\"Armlogi (warehousing/logistics) shows revenue growth, diversified customers, IPO completed and operating scale \u2014 low near-term bankruptcy risk.\"},\n  {\"score\": 40, \"explanation\":\"VPR Brands (vaping) faces heavy regulatory, market and litigation risk, small market cap and uncertain revenue trends \u2014 elevated but not imminent bankruptcy risk.\"},\n  {\"score\": 5, \"explanation\":\"Public Storage is a large, investment-grade REIT with strong market cap, diversified assets and stable cash flows \u2014 very low bankruptcy risk.\"},\n  {\"score\": 55, \"explanation\":\"Pliant Therapeutics (biotech) has high cash burn, recent trial discontinuation (BEACON\u2011IPF) and need for additional financing \u2014 substantial near-term bankruptcy risk without new funding.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 65316,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 230,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 65546
  },
  "user": null,
  "metadata": {}
}
[10:08:05]   Parsed 5 result(s).
[10:08:05]   Calling AI for batch 17 with 5 report(s)…
[10:08:13]   Raw AI response: {
  "id": "resp_68cd0f6664f08195908446e7d84dd4a105f6424fbf49059e",
  "object": "response",
  "created_at": 1758269286,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f68fe748195a3730633569437e505f6424fbf49059e",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f69436081959eefd701c11b5a3405f6424fbf49059e",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\n    \"score\": 35,\n    \"explanation\": \"Clinical-stage biotech with going-concern disclosure, limited cash runway to 2026 and high financing needs, but some assets and Nasdaq listing reduce near-term bankruptcy risk.\"\n  },\n  {\n    \"score\": 5,\n    \"explanation\": \"Large, diversified, profitable specialty chemical company with strong market cap and established operations; low short-term bankruptcy risk.\"\n  },\n  {\n    \"score\": 70,\n    \"explanation\": \"Extensive Chapter 11 restructuring history, large debt instruments and contingent liabilities (opioid/Acthar/Passaic), ongoing complex financings\u2014high near-term default risk.\"\n  },\n  {\n    \"score\": 8,\n    \"explanation\": \"Regional bank with broad deposit base, diversified lending, regulatory compliance and scale; low likelihood of bankruptcy within a year.\"\n  },\n  {\n    \"score\": 55,\n    \"explanation\": \"Small consumer company with limited operating history, minimal market cap ($5.6k reported?), heavy dependence on distributors/celebrities and need for additional capital\u2014material near-term risk.\"\n  }\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 68245,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 245,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 68490
  },
  "user": null,
  "metadata": {}
}
[10:08:13]   Parsed 5 result(s).
[10:08:13]   Calling AI for batch 18 with 5 report(s)…
[10:08:20]   Raw AI response: {
  "id": "resp_68cd0f6f28a48196aa28aba9e07ce94e0e71bcf59aaf0977",
  "object": "response",
  "created_at": 1758269295,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f7203408196a3ecdda59119b90e0e71bcf59aaf0977",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f722e4081969722efbc0fe2b0600e71bcf59aaf0977",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[{\"score\":3,\"explanation\":\"Large, diversified, profitable enterprise (FIS) with strong market cap, stable funding and long-dated debt\u2014very low near-term insolvency risk.\"},{\"score\":1,\"explanation\":\"Berkshire Hathaway: extremely strong diversified conglomerate with massive cash and insurance float\u2014negligible bankruptcy risk.\"},{\"score\":2,\"explanation\":\"Dexcom: large market cap, strong product approvals and revenue growth in medical devices; manageable convertible debt\u2014very low near-term risk.\"},{\"score\":45,\"explanation\":\"OS Therapies: clinical-stage biotech with limited commercial revenue, reliance on trial outcomes, upcoming FDA interactions and transaction closings\u2014material financing and execution risk within 12 months.\"},{\"score\":8,\"explanation\":\"Zuora: public SaaS company with substantial customers and scale but exposed to churn and profitability pressures; likely has enough liquidity for 12 months though risk is non-zero.\"}]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 66118,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 198,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 66316
  },
  "user": null,
  "metadata": {}
}
[10:08:20]   Parsed 5 result(s).
[10:08:20]   Calling AI for batch 19 with 5 report(s)…
[10:08:31]   Raw AI response: {
  "id": "resp_68cd0f75f9048197b633356692503bb80e89da97635541e8",
  "object": "response",
  "created_at": 1758269302,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f7969648197bf6db9eb50721d0d0e89da97635541e8",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f79c19881978dc8f77f805eed3d0e89da97635541e8",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\n    \"score\": 35,\n    \"explanation\": \"Clinical-stage biotech with ongoing Phase 3, some grant funding and IP but history of operating losses, small market cap ($9.2M mid\u20112024) and need for substantial additional financing.\"\n  },\n  {\n    \"score\": 3,\n    \"explanation\": \"Large diversified insurance/financial services company with substantial invested assets and established operations; low near\u2011term bankruptcy risk.\"\n  },\n  {\n    \"score\": 5,\n    \"explanation\": \"Paymentus is a profitable/growing payments SaaS company with large market cap and diversified revenue; low short\u2011term bankruptcy risk despite operational risks.\"\n  },\n  {\n    \"score\": 40,\n    \"explanation\": \"Clinical\u2011stage biotech (Seres) with approved divestiture, promising Phase 1b data and Breakthrough designation but still pre\u2011revenue, cash\u2011burning and notes about going\u2011concern in filings.\"\n  },\n  {\n    \"score\": 70,\n    \"explanation\": \"Micro\u2011cap clinical developer with no revenue, minimal cash, large related\u2011party payables, going\u2011concern language and need to raise capital imminently.\"\n  }\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 60576,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 261,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 60837
  },
  "user": null,
  "metadata": {}
}
[10:08:31]   Parsed 5 result(s).
[10:08:31]   Calling AI for batch 20 with 5 report(s)…
[10:08:38]   Raw AI response: {
  "id": "resp_68cd0f808ed48195b8b1a2b06466be390ff4cecf0b341d01",
  "object": "response",
  "created_at": 1758269312,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f8348608195b87667b9ab5aa71c0ff4cecf0b341d01",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f83796c8195871b7d3c027e5d560ff4cecf0b341d01",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 8, \"explanation\": \"Stable Nasdaq-listed fintech with diversified insurer partners, recurring revenue, positive market cap; concentration risks noted but no immediate liquidity distress.\"},\n  {\"score\": 6, \"explanation\": \"Large, profitable NYSE consumer durables company with broad retail footprint and scale; cyclical demand risk but low near-term default risk.\"},\n  {\"score\": 12, \"explanation\": \"Global equipment/ATM services firm with diversified segments and long-dated debt and hedges; leverage and litigation exposures elevate but solvency appears intact.\"},\n  {\"score\": 45, \"explanation\": \"Micro/early-stage NYSE American issuer with extensive related-party notes, multiple financing arrangements and complex convertible/preferred financings\u2014heightened near-term liquidity and governance risk.\"},\n  {\"score\": 18, \"explanation\": \"Insurance/holding company with substantial underwriting exposure to hurricanes and complex convertible debt but diversified investments and capital actions reduce immediate bankruptcy likelihood.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 73912,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 213,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 74125
  },
  "user": null,
  "metadata": {}
}
[10:08:38]   Parsed 5 result(s).
[10:08:38]   Calling AI for batch 21 with 5 report(s)…
[10:08:48]   Raw AI response: {
  "id": "resp_68cd0f87c964819680616557b5ba4a890ace57201f736b84",
  "object": "response",
  "created_at": 1758269319,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f8bf3548196b195eae2a8b872950ace57201f736b84",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f8c27c8819690d643ac5d1573390ace57201f736b84",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 5, \"explanation\": \"Carrier Global: large, investment-grade public company with diversified operations, significant assets and access to capital markets; low near-term default risk.\"},\n  {\"score\": 40, \"explanation\": \"Willow Tree Capital: newly formed BDC with small asset base (~$389M post-mergers), levered credit strategy, dependence on capital raising and portfolio credit risk.\"},\n  {\"score\": 8, \"explanation\": \"Markel (mkl): established diversified insurance and investment group with strong franchises, significant assets and long-dated debt\u2014very low short-term bankruptcy risk.\"},\n  {\"score\": 70, \"explanation\": \"Citrine Global / SkyTech: microcap OTC issuer, recurring losses, going-concern issues, war-related operational disruption and dependency on grants/financing\u2014high near-term distress risk.\"},\n  {\"score\": 85, \"explanation\": \"NAPC Defense (formerly Treasure & Shipwreck): thinly traded microcap, sustained losses, working capital deficit, auditors cite substantial doubt about going concern and urgent financing need.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 68027,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 239,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 68266
  },
  "user": null,
  "metadata": {}
}
[10:08:48]   Parsed 5 result(s).
[10:08:48]   Calling AI for batch 22 with 5 report(s)…
[10:08:54]   Raw AI response: {
  "id": "resp_68cd0f9157f08197aae98f43c69c86fe0825c03bed4d19b2",
  "object": "response",
  "created_at": 1758269329,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f93a71c8197a825e12631cd93480825c03bed4d19b2",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f93d3688197b9e98f4372034a330825c03bed4d19b2",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 5, \"explanation\": \"Large, Nasdaq\u2011listed specialty retailer with stable governance and no distress indicators in filing; low short\u2011term bankruptcy risk.\"},\n  {\"score\": 60, \"explanation\": \"Microcap OTC issuer with litigation, large convertible notes, bridge financing disputes and limited market cap (~$8M); material near\u2011term funding and legal risks.\"},\n  {\"score\": 8, \"explanation\": \"Established Nasdaq Global Select retailer (PriceSmart) with strong regional operations and scale; low near\u2011term bankruptcy risk despite macro risks.\"},\n  {\"score\": 10, \"explanation\": \"PROG Holdings: large NYSE fintech with concentrated revenue in Progressive Leasing and debt/operational risks but strong scale and liquidity; low near\u2011term bankruptcy likelihood.\"},\n  {\"score\": 4, \"explanation\": \"Charles River Laboratories: large S&P/Nyse\u2011listed CRO with diversified revenue, strong market position and substantial market cap; very low near\u2011term bankruptcy risk.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 63637,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 220,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 63857
  },
  "user": null,
  "metadata": {}
}
[10:08:54]   Parsed 5 result(s).
[10:08:54]   Calling AI for batch 23 with 5 report(s)…
[10:09:00]   Raw AI response: {
  "id": "resp_68cd0f97de808193b8b3b463a59e0a9d0968239cd686d7fc",
  "object": "response",
  "created_at": 1758269335,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f995238819391e93e093c266ef70968239cd686d7fc",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f9975fc8193a9fe2fcd00188dd50968239cd686d7fc",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 10, \"explanation\": \"Large, diversified NYSE-listed industrial (Constellium) with positive adjusted EBITDA ($623M), material free cash outflow (-$100M) but sizable market cap and governance\u2014low near-term bankruptcy risk.\"},\n  {\"score\": 35, \"explanation\": \"Small-cap technology (Akoustis) with limited history, NASDAQ listing, disclosure of cybersecurity but likely cash burn and small market value (~$60M)\u2014elevated short-term risk.\"},\n  {\"score\": 5, \"explanation\": \"Large regulated utility (IPL/WPL/Alliant-related filing) with extensive assets, diversified cash flows and regulated rates\u2014very low near-term bankruptcy risk.\"},\n  {\"score\": 2, \"explanation\": \"Northrop Grumman: very large, well-capitalized defense prime with stable government revenues and strong liquidity\u2014extremely low bankruptcy risk.\"},\n  {\"score\": 30, \"explanation\": \"NewRez (mortgage/servicing) with complex loan portfolios, MSR exposure and preferred equity series; sector sensitivity to rates and credit\u2014moderate near-term risk.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 66574,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 251,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 66825
  },
  "user": null,
  "metadata": {}
}
[10:09:00]   Parsed 5 result(s).
[10:09:00]   Calling AI for batch 24 with 5 report(s)…
[10:09:06]   Raw AI response: {
  "id": "resp_68cd0f9d58cc8197b67da2d9686d6fb40e32c0f8eb314f9d",
  "object": "response",
  "created_at": 1758269341,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0f9f431c8197948a8358927166580e32c0f8eb314f9d",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0f9f66048197b271addb79e597760e32c0f8eb314f9d",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 1, \"explanation\": \"Alphabet is a massive, highly profitable, cash-rich tech conglomerate with strong market position and diverse revenue \u2014 bankruptcy within a year is effectively negligible.\"},\n  {\"score\": 8, \"explanation\": \"Golub Capital BDC is a leveraged business development company exposed to credit/market risk and portfolio defaults but benefits from diversified loans and regulatory structure; short-term bankruptcy risk is low\u2013moderate.\"},\n  {\"score\": 25, \"explanation\": \"DIRTT is a small-cap, OTC-listed construction/technology company with limited market cap (~$33M), ongoing governance amendments and reliance on operational turnaround \u2014 elevated near-term distress risk.\"},\n  {\"score\": 30, \"explanation\": \"MacroGenics is a clinical-stage biopharma with limited revenue, high R&D burn, recent safety/clinical setbacks and reliance on milestone/partner payments \u2014 significant financing risk over the next year.\"},\n  {\"score\": 12, \"explanation\": \"AGNC is a large, regulated mortgage REIT with substantial assets, leverage and interest-rate/credit sensitivity; market risk is meaningful but bankruptcy within a year remains unlikely absent severe market shock.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 70300,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 256,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 70556
  },
  "user": null,
  "metadata": {}
}
[10:09:06]   Parsed 5 result(s).
[10:09:06]   Calling AI for batch 25 with 5 report(s)…
[10:09:15]   Raw AI response: {
  "id": "resp_68cd0fa3c2ec81968e24361ed8ca161d0b9c2715f78fa638",
  "object": "response",
  "created_at": 1758269347,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0fa7ff688196927d2929b7b4423f0b9c2715f78fa638",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0fa831fc8196a8098df28b9ae1880b9c2715f78fa638",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
